XR_004936710.1	Gm26206	Gm26206
NM_001098528.3	Kcnb2	Kcnb2
XM_006495597.5	Kcnb2	Kcnb2
XM_006495596.3	Kcnb2	Kcnb2
XR_003947745.2	Gm51616	Gm51616
XR_003947747.2	Gm51617	Gm51617
XR_004936825.1	Gm25168	Gm25168
XR_004941782.1	Terf1	Terf1
XR_004941784.1	Terf1	Terf1
NR_185191.1	Terf1	Terf1
NR_152944.2	Terf1	Terf1
NM_009352.4	Terf1	Terf1
NM_001420524.1	Terf1	Terf1
NM_001286628.2	Terf1	Terf1
NM_001420525.1	Terf1	Terf1
NM_001033288.3	Sbspon	Sbspon
XR_001779753.1	Gm31523	Gm31523
XM_006495584.5	4930444P10Rik	4930444P10Rik
XM_030243351.2	4930444P10Rik	4930444P10Rik
XM_030243353.1	4930444P10Rik	4930444P10Rik
XM_006495582.2	4930444P10Rik	4930444P10Rik
NM_001243238.2	4930444P10Rik	4930444P10Rik
NM_001305227.1	4930444P10Rik	4930444P10Rik
NM_011291.5	Rpl7	Rpl7
NM_133832.3	Rdh10	Rdh10
XM_006495532.5	Stau2	Stau2
XM_006495528.5	Stau2	Stau2
XM_011238390.3	Stau2	Stau2
XM_017321109.3	Stau2	Stau2
XM_017321102.3	Stau2	Stau2
XM_011238387.2	Stau2	Stau2
XM_036165647.1	Stau2	Stau2
XM_036165648.1	Stau2	Stau2
XM_011238389.3	Stau2	Stau2
XM_030254814.2	Stau2	Stau2
NM_001111272.1	Stau2	Stau2
NM_025303.3	Stau2	Stau2
XM_011238388.3	Stau2	Stau2
NM_001347045.1	Stau2	Stau2
NM_001347044.1	Stau2	Stau2
XR_001778825.3	Gm7568	Gm7568
XR_865202.3	Gm7568	Gm7568
XR_865201.3	Gm7568	Gm7568
XR_003947751.1	C130013N14Rik	C130013N14Rik
NR_073122.2	Ube2w	Ube2w
XR_003946406.2	Ube2w	Ube2w
XR_004934078.1	Ube2w	Ube2w
NM_001271016.3	Ube2w	Ube2w
NM_001271017.2	Ube2w	Ube2w
NM_025773.4	Ube2w	Ube2w
XM_011238402.4	Ube2w	Ube2w
XM_006495557.5	Ube2w	Ube2w
XM_006495561.3	Eloc	Eloc
XM_006495564.3	Eloc	Eloc
NM_001310470.1	Eloc	Eloc
XM_011238403.3	Eloc	Eloc
XM_006495559.4	Eloc	Eloc
XM_006495562.3	Eloc	Eloc
XM_006495558.4	Eloc	Eloc
XM_006495563.4	Eloc	Eloc
XM_030242571.2	Eloc	Eloc
XM_036153232.1	Eloc	Eloc
XM_030242577.2	Eloc	Eloc
XM_036153239.1	Eloc	Eloc
XM_030242579.1	Eloc	Eloc
XM_017322272.2	Eloc	Eloc
NM_026456.4	Eloc	Eloc
NR_037998.1	D030040B21Rik	D030040B21Rik
NM_026392.1	Tmem70	Tmem70
NM_027415.2	Tmem70	Tmem70
XM_036153613.1	Tmem70	Tmem70
NM_016923.2	Ly96	Ly96
NM_001159711.1	Ly96	Ly96
XR_004935544.1	Gm53492	Gm53492
XR_001785237.3	Jph1	Jph1
NM_020604.2	Jph1	Jph1
XM_011238398.4	Jph1	Jph1
XM_011238396.4	Jph1	Jph1
XR_004935546.1	Gm46085	Gm46085
XR_004935547.1	Gm46085	Gm46085
XR_004935548.1	Gm46085	Gm46085
XR_004935545.1	Gm46085	Gm46085
XR_865203.3	Gm31982	Gm31982
XR_373223.3	Gm31982	Gm31982
XM_036160394.1	Gdap1	Gdap1
NM_010267.4	Gdap1	Gdap1
NM_001420178.1	Gdap1	Gdap1
XR_373225.2	Gm28784	Gm28784
XR_865206.1	Gm39597	Gm39597
XR_865207.1	Gm39597	Gm39597
XM_036154509.1	Pi15	Pi15
NM_053191.5	Pi15	Pi15
XR_004935552.1	Gm28154	Gm28154
XR_373227.3	Gm28154	Gm28154
XR_004935556.1	Gm28154	Gm28154
XR_004935555.1	Gm28154	Gm28154
XR_004935554.1	Gm28154	Gm28154
XR_004935551.1	Gm28154	Gm28154
XR_004935549.1	Gm28154	Gm28154
XR_004935559.1	Gm28154	Gm28154
XR_004935553.1	Gm28154	Gm28154
XR_865211.2	Gm28154	Gm28154
XR_004935550.1	Gm28154	Gm28154
NR_130314.1	Gm16070	Gm16070
NM_001421149.1	Crispld1	Crispld1
NM_001356551.2	Crispld1	Crispld1
XM_006495594.5	Crispld1	Crispld1
NM_031402.3	Crispld1	Crispld1
XM_011238410.3	Crispld1	Crispld1
XM_006495591.4	Crisp4	Crisp4
XM_006495589.2	Crisp4	Crisp4
NM_001347048.1	Crisp4	Crisp4
NM_001347047.1	Crisp4	Crisp4
NR_002879.3	Defb44-ps	Defb44-ps
NM_001039123.2	Defb18	Defb18
NM_183124.4	Defb41	Defb41
NM_001040027.3	Defb41	Defb41
XM_036155302.1	Gm28343	Gm28343
NR_151619.1	Gm15825	Gm15825
NM_153154.3	Tfap2d	Tfap2d
NM_001379074.1	Tfap2d	Tfap2d
XM_006495498.4	Tfap2d	Tfap2d
NM_001379073.1	Tfap2d	Tfap2d
XM_030252835.2	Tfap2b	Tfap2b
XM_006495494.5	Tfap2b	Tfap2b
XM_006495491.5	Tfap2b	Tfap2b
NM_009334.4	Tfap2b	Tfap2b
NM_001286340.2	Tfap2b	Tfap2b
XM_030252837.1	Tfap2b	Tfap2b
XM_006495495.3	Tfap2b	Tfap2b
NM_001025305.3	Tfap2b	Tfap2b
XR_373235.2	Gm32651	Gm32651
XR_373234.2	Gm32651	Gm32651
NM_153179.3	Pkhd1	Pkhd1
XM_011238384.3	Pkhd1	Pkhd1
XM_006495521.2	Pkhd1	Pkhd1
XM_011238385.1	Pkhd1	Pkhd1
NR_045734.1	4930486I03Rik	4930486I03Rik
XR_004936700.1	Gm24162	Gm24162
NR_131249.1	Lincmd1	Lincmd1
NR_029593.1	Mir206	Mir206
unassigned_transcript_2	Mir206	Mir206
unassigned_transcript_3	Mir206	Mir206
NR_029902.1	Mir133b	Mir133b
unassigned_transcript_4	Mir133b	Mir133b
unassigned_transcript_5	Mir133b	Mir133b
NM_010552.3	Il17a	Il17a
NM_145856.2	Il17f	Il17f
XM_006495523.2	Il17f	Il17f
XM_030251926.2	Mcm3	Mcm3
NM_008563.3	Mcm3	Mcm3
XR_004936837.1	Gm24723	Gm24723
NR_040492.1	6720483E21Rik	6720483E21Rik
NM_028829.4	Paqr8	Paqr8
XM_030243207.2	Paqr8	Paqr8
NM_001355122.1	Paqr8	Paqr8
XR_004936822.1	Gm24171	Gm24171
XR_003947758.1	Gm51618	Gm51618
XR_003946579.2	Efhc1	Efhc1
NM_027974.1	Efhc1	Efhc1
NM_177409.3	Tram2	Tram2
XM_006495579.3	Tmem14a	Tmem14a
XM_006495581.3	Tmem14a	Tmem14a
NM_001290679.1	Tmem14a	Tmem14a
NM_029398.3	Tmem14a	Tmem14a
XR_373237.3	Gm32947	Gm32947
XR_373236.3	Gm28836	Gm28836
NM_001420193.1	Gsta3	Gsta3
NM_001077353.3	Gsta3	Gsta3
NM_001420191.1	Gsta3	Gsta3
NM_001288617.2	Gsta3	Gsta3
NM_010356.5	Gsta3	Gsta3
NM_001420192.1	Gsta3	Gsta3
NM_001420190.1	Gsta3	Gsta3
NM_001420194.1	Gsta3	Gsta3
NM_001420195.1	Gsta3	Gsta3
XM_036155436.1	Gm7094	Gm7094
NR_002858.2	Gm4956	Gm4956
NM_183322.2	Khdc1a	Khdc1a
NM_001033904.1	Khdc1c	Khdc1c
XR_001778839.1	Gm33147	Gm33147
NM_001113187.1	Khdc1b	Khdc1b
NM_001310477.1	Kcnq5	Kcnq5
XM_036164276.1	Kcnq5	Kcnq5
NM_023872.3	Kcnq5	Kcnq5
NM_001160139.1	Kcnq5	Kcnq5
XR_004935832.1	Gm53539	Gm53539
NM_001012625.4	Rims1	Rims1
NM_001012624.4	Rims1	Rims1
NM_001012623.4	Rims1	Rims1
NM_183018.5	Rims1	Rims1
NM_053270.4	Rims1	Rims1
XM_036154438.1	Rims1	Rims1
XM_036154447.1	Rims1	Rims1
XM_036154452.1	Rims1	Rims1
XM_036154458.1	Rims1	Rims1
XM_036154343.1	Rims1	Rims1
XM_036154326.1	Rims1	Rims1
XM_036154314.1	Rims1	Rims1
XM_036154306.1	Rims1	Rims1
XM_036154248.1	Rims1	Rims1
XM_036153963.1	Rims1	Rims1
XM_036154141.1	Rims1	Rims1
XM_036154130.1	Rims1	Rims1
XM_036154297.1	Rims1	Rims1
XM_036154075.1	Rims1	Rims1
XM_036154043.1	Rims1	Rims1
XM_036154235.1	Rims1	Rims1
XM_036154101.1	Rims1	Rims1
XM_036154015.1	Rims1	Rims1
XM_036154285.1	Rims1	Rims1
XM_036154267.1	Rims1	Rims1
XM_036154055.1	Rims1	Rims1
XM_036154256.1	Rims1	Rims1
XM_036154243.1	Rims1	Rims1
XM_036153980.1	Rims1	Rims1
XM_036154227.1	Rims1	Rims1
XM_036154205.1	Rims1	Rims1
XM_036154195.1	Rims1	Rims1
XM_036154178.1	Rims1	Rims1
XM_036154086.1	Rims1	Rims1
XM_036154160.1	Rims1	Rims1
XM_036154026.1	Rims1	Rims1
XM_036154151.1	Rims1	Rims1
XM_036153973.1	Rims1	Rims1
XM_036154361.1	Rims1	Rims1
XM_036154371.1	Rims1	Rims1
XM_036154396.1	Rims1	Rims1
XM_036154410.1	Rims1	Rims1
XM_036154384.1	Rims1	Rims1
XM_036154411.1	Rims1	Rims1
XM_036154408.1	Rims1	Rims1
XM_036154426.1	Rims1	Rims1
XM_036154414.1	Rims1	Rims1
XM_036154433.1	Rims1	Rims1
XM_036154432.1	Rims1	Rims1
XM_036154403.1	Rims1	Rims1
NR_151543.1	Gm7759	Gm7759
NM_025746.2	Ppp1r14bl	Ppp1r14bl
XR_373275.2	Gm30442	Gm30442
XR_373274.2	Gm29506	Gm29506
XR_865292.1	Gm29506	Gm29506
XR_004935838.1	Gm53541	Gm53541
XR_004935839.1	Gm53541	Gm53541
NR_029533.1	Mir30a	Mir30a
unassigned_transcript_6	Mir30a	Mir30a
unassigned_transcript_7	Mir30a	Mir30a
NR_029717.1	Mir30c-2	Mir30c-2
unassigned_transcript_8	Mir30c-2	Mir30c-2
unassigned_transcript_9	Mir30c-2	Mir30c-2
NM_001081079.1	Ogfrl1	Ogfrl1
NM_001379083.1	Ogfrl1	Ogfrl1
NM_001379082.1	Ogfrl1	Ogfrl1
XR_373277.4	Gm19673	Gm19673
XR_003947759.1	Gm19673	Gm19673
NR_151529.1	Gm28822	Gm28822
NM_172124.2	B3gat2	B3gat2
NR_110972.2	Smap1	Smap1
XM_030243880.2	Smap1	Smap1
NM_028534.4	Smap1	Smap1
NM_001357395.2	Smap1	Smap1
NM_001290683.2	Smap1	Smap1
XR_865295.3	Gm53062	Gm53062
NM_026503.3	Sdhaf4	Sdhaf4
NR_175350.1	Fam135a	Fam135a
XR_004934154.1	Fam135a	Fam135a
NM_001403091.1	Fam135a	Fam135a
NM_001403087.1	Fam135a	Fam135a
NM_001403097.1	Fam135a	Fam135a
NM_001403096.1	Fam135a	Fam135a
NM_001403094.1	Fam135a	Fam135a
NM_001403092.1	Fam135a	Fam135a
NM_001403088.1	Fam135a	Fam135a
NM_001403095.1	Fam135a	Fam135a
NM_001403090.1	Fam135a	Fam135a
NM_001403093.1	Fam135a	Fam135a
NM_001403089.1	Fam135a	Fam135a
NM_026604.4	Fam135a	Fam135a
XM_011238569.3	Fam135a	Fam135a
XM_030242598.2	Fam135a	Fam135a
XM_006496232.5	Fam135a	Fam135a
XM_017322275.3	Fam135a	Fam135a
XM_030242599.2	Fam135a	Fam135a
XM_036153271.1	Fam135a	Fam135a
XM_030242596.2	Fam135a	Fam135a
XM_030242600.2	Fam135a	Fam135a
XM_030242597.1	Fam135a	Fam135a
XM_006495649.3	Col9a1	Col9a1
XM_036157312.1	Col9a1	Col9a1
NM_007740.3	Col9a1	Col9a1
NM_001290691.1	Col9a1	Col9a1
XM_006495645.5	Col19a1	Col19a1
XM_030245411.2	Col19a1	Col19a1
XM_006495646.5	Col19a1	Col19a1
XM_006495644.5	Col19a1	Col19a1
XM_006495643.5	Col19a1	Col19a1
XM_006495642.5	Col19a1	Col19a1
